Student_ID,Age,Gender,SES,High_School_GPA,SAT_Score,Academic_Failures,Attendance_Percentage,Extracurricular_Participation,Academic_Support,Online_Learning_Hours,Enrolled,Graduated
36,22,Female,High,3.2,1437,1,82.8,Yes,No,5.2,Yes,Needs Support
37,22,Female,Middle,3.33,1107,3,99.6,No,No,7.9,Yes,Success
38,19,Male,High,2.35,1135,1,53.6,Yes,Yes,9.4,No,Success
39,20,Female,High,3.83,1545,3,53.9,No,Yes,7.5,Yes,Needs Support
40,20,Male,Low,2.84,1174,3,67.0,No,No,7.2,No,Needs Support
41,17,Male,Low,2.77,807,1,93.3,Yes,Yes,8.3,Yes,Needs Support
42,19,Male,Middle,3.04,1140,2,60.8,Yes,Yes,4.5,Yes,Needs Support
43,21,Male,Low,2.09,928,0,68.0,No,No,8.1,No,Needs Support
44,19,Male,Low,2.33,1575,4,53.4,Yes,Yes,0.1,No,Success
45,21,Male,High,3.48,1468,3,88.2,No,No,9.2,No,Success
46,17,Female,Low,2.17,1151,4,70.4,No,Yes,4.4,Yes,Success
47,18,Male,High,3.21,1157,1,88.0,No,No,5.5,Yes,Needs Support
48,20,Male,High,2.49,1316,4,95.2,Yes,Yes,2.5,Yes,Success
49,17,Male,High,2.78,1294,1,61.6,No,No,7.4,No,Success
50,20,Female,Middle,2.58,885,4,90.4,Yes,No,0.8,No,Success
51,22,Female,Middle,2.71,974,0,53.0,Yes,No,8.7,No,Needs Support
52,18,Male,Middle,3.44,992,0,94.9,Yes,No,8.3,Yes,Needs Support
53,18,Female,High,2.59,1110,0,82.5,Yes,Yes,2.2,Yes,Success
54,17,Male,Middle,3.13,918,0,93.7,No,Yes,8.1,No,Needs Support
55,18,Male,Middle,2.95,1017,0,50.0,Yes,No,7.9,Yes,Success
56,21,Female,Low,3.33,1226,0,58.5,No,Yes,6.3,No,Success
57,18,Male,Middle,3.87,1213,1,69.5,No,Yes,3.7,Yes,Success
58,20,Female,Middle,3.47,913,3,69.0,Yes,Yes,2.7,Yes,Success
59,20,Female,High,2.43,944,4,61.3,No,Yes,2.3,No,Needs Support
60,20,Male,High,2.06,1337,0,69.1,No,Yes,3.2,Yes,Needs Support
61,20,Male,High,2.52,1447,1,56.4,Yes,No,9.0,Yes,Needs Support
62,21,Female,High,3.19,1102,1,70.6,No,No,0.8,No,Needs Support
63,19,Male,High,2.1,1543,1,90.1,No,No,8.3,No,Success
64,22,Male,High,2.99,1387,3,74.0,No,No,3.5,Yes,Needs Support
65,17,Male,Middle,3.19,1144,4,50.9,No,Yes,5.2,No,Success
66,20,Female,High,2.67,800,3,71.1,Yes,Yes,7.9,Yes,Needs Support
67,18,Female,High,3.54,946,2,51.4,No,No,8.8,No,Needs Support
68,20,Male,Low,2.21,1086,1,98.3,No,Yes,3.4,Yes,Needs Support
69,18,Female,Middle,2.15,1453,2,56.4,No,Yes,4.6,Yes,Success
70,22,Female,Middle,3.46,852,0,85.4,No,No,4.1,No,Success
71,22,Female,Middle,2.99,1103,0,98.6,Yes,Yes,0.1,Yes,Success
72,22,Female,High,3.38,868,3,91.3,No,No,3.0,Yes,Success
73,18,Female,High,2.87,1160,4,85.0,Yes,No,4.6,No,Needs Support
74,20,Male,High,2.49,1401,2,92.0,No,Yes,4.1,No,Success
75,22,Male,Low,3.64,1019,4,99.1,Yes,Yes,7.2,Yes,Success
76,21,Male,High,3.6,1503,3,81.1,Yes,No,3.8,No,Needs Support
77,18,Female,Low,3.39,1374,0,78.0,Yes,No,4.9,No,Needs Support
78,18,Female,Middle,2.54,1384,4,81.4,Yes,Yes,4.3,Yes,Success
79,20,Male,High,3.18,960,4,76.6,Yes,No,7.4,Yes,Needs Support
80,18,Female,Low,2.72,1480,0,81.8,No,No,8.6,No,Success
81,18,Male,Low,2.18,888,2,72.5,No,No,5.3,No,Needs Support
82,22,Male,High,3.83,1487,0,60.9,No,Yes,7.9,No,Success
83,20,Male,Middle,2.27,1580,4,56.0,Yes,No,3.0,Yes,Success
84,22,Female,Middle,3.9,1384,2,53.4,No,Yes,5.4,Yes,Success
85,22,Female,Middle,2.89,1556,2,63.2,Yes,No,3.5,Yes,Success
86,20,Male,Low,2.37,1388,0,52.3,Yes,Yes,4.1,Yes,Success
87,17,Male,Low,3.08,958,4,78.4,No,No,7.3,Yes,Needs Support
88,22,Male,Low,3.75,1288,3,64.2,No,Yes,8.8,Yes,Success
89,21,Male,Low,3.46,1123,4,91.2,Yes,Yes,1.2,Yes,Success
90,21,Female,Middle,3.61,1409,1,53.7,Yes,Yes,6.3,No,Success
91,18,Female,High,3.32,1180,3,61.3,No,No,5.8,No,Success
92,21,Male,Low,3.38,901,2,86.5,No,No,1.2,Yes,Success
93,18,Male,Low,3.7,1293,3,79.9,No,No,2.1,Yes,Needs Support
94,17,Female,Middle,2.5,1443,2,53.2,No,Yes,3.1,Yes,Needs Support
95,20,Female,High,2.98,1413,2,93.9,Yes,No,1.7,No,Success
96,20,Male,High,2.44,818,3,93.9,No,Yes,2.4,Yes,Needs Support
97,20,Male,Middle,3.98,1253,2,66.5,No,No,2.7,No,Success
98,21,Male,Middle,3.89,1281,2,67.0,No,Yes,3.4,No,Needs Support
99,17,Female,High,2.08,1393,1,99.5,Yes,Yes,7.5,No,Needs Support
100,21,Female,Low,3.41,1196,4,81.3,Yes,Yes,5.7,No,Success
101,21,Female,High,3.85,1078,4,76.6,Yes,No,9.9,No,Needs Support
102,17,Male,Middle,2.36,1164,1,91.9,Yes,No,4.1,Yes,Needs Support
103,17,Male,Low,3.14,1130,3,64.3,No,No,7.5,Yes,Success
104,17,Female,Low,3.83,1440,0,71.5,Yes,Yes,8.7,No,Success
105,17,Female,Middle,2.07,1143,0,63.4,No,Yes,6.8,Yes,Needs Support
106,20,Male,Middle,3.39,1254,0,89.5,No,No,4.1,No,Needs Support
107,19,Female,Middle,2.59,1400,1,78.7,No,No,7.5,No,Needs Support
108,19,Female,High,3.85,1524,1,82.9,No,No,2.0,Yes,Success
109,17,Male,High,3.94,1454,2,62.6,Yes,Yes,3.3,Yes,Needs Support
110,19,Female,Low,3.89,864,0,61.0,Yes,Yes,5.5,Yes,Needs Support
111,19,Male,Middle,2.95,875,3,74.4,Yes,Yes,5.8,Yes,Needs Support
112,17,Male,Low,3.72,1510,3,86.9,No,Yes,0.2,Yes,Success
113,19,Male,Low,3.69,942,0,76.3,No,Yes,9.5,No,Success
114,21,Male,Low,2.64,1404,0,51.6,No,No,7.0,Yes,Success
115,18,Male,Low,3.66,1272,0,93.4,No,Yes,5.0,Yes,Success
116,18,Male,Middle,2.07,1216,1,53.2,No,Yes,9.3,Yes,Needs Support
117,17,Male,Low,3.19,1104,1,97.8,Yes,Yes,4.4,No,Success
118,20,Female,Middle,2.46,1535,1,51.3,No,Yes,9.8,Yes,Needs Support
119,17,Male,Middle,2.24,1296,4,84.7,Yes,Yes,5.1,No,Needs Support
120,20,Male,High,2.15,1090,3,54.1,No,No,1.1,Yes,Needs Support
121,18,Female,Middle,3.39,901,3,95.5,No,Yes,7.6,Yes,Needs Support
122,17,Female,High,2.68,1066,2,73.2,Yes,Yes,6.8,No,Success
123,22,Female,Middle,3.45,1421,1,56.9,Yes,Yes,7.7,Yes,Success
124,21,Male,Middle,2.13,1576,4,67.0,No,No,9.5,Yes,Success
125,19,Female,Middle,2.63,802,4,58.2,No,No,7.8,No,Success
126,20,Male,High,3.08,884,3,58.5,No,No,6.1,Yes,Success
127,22,Male,High,3.58,1593,1,97.4,No,Yes,8.6,No,Needs Support
128,19,Male,Low,2.64,1127,2,72.3,Yes,No,6.7,No,Success
129,19,Male,High,3.25,1249,1,89.4,No,Yes,4.1,No,Success
130,17,Female,High,3.77,1253,0,82.0,Yes,Yes,8.9,No,Success
131,19,Female,High,3.23,1428,1,83.8,No,No,2.2,No,Success
132,21,Male,High,2.47,1020,0,56.6,Yes,Yes,7.1,Yes,Needs Support
133,22,Male,Low,2.05,953,0,61.7,Yes,Yes,8.8,Yes,Needs Support
134,19,Male,High,3.74,1464,2,89.3,No,Yes,7.3,Yes,Needs Support
135,17,Female,Middle,2.04,811,3,98.5,Yes,No,7.0,No,Needs Support
136,21,Male,Middle,3.75,932,1,63.1,No,Yes,7.5,No,Needs Support
137,18,Male,High,3.06,1103,0,63.6,Yes,Yes,4.7,No,Success
138,22,Female,High,3.88,1092,1,73.6,No,No,8.7,No,Needs Support
139,19,Female,Middle,3.6,1099,3,99.2,Yes,Yes,2.0,Yes,Needs Support
140,17,Male,Middle,4.0,1539,3,63.4,No,Yes,1.3,Yes,Needs Support
141,18,Female,Low,2.7,1582,4,70.3,No,No,2.9,No,Success
142,18,Female,Middle,3.53,842,3,94.6,Yes,Yes,5.3,No,Success
143,20,Male,Middle,2.8,1142,2,50.1,Yes,Yes,5.1,Yes,Needs Support
144,21,Female,High,2.96,1125,0,52.0,Yes,Yes,8.2,No,Success
145,19,Male,Middle,3.26,1297,4,80.2,Yes,Yes,4.0,No,Success
146,17,Female,Low,3.75,1163,2,95.4,No,Yes,4.8,No,Needs Support
147,20,Male,Middle,3.97,1226,1,61.9,Yes,No,0.1,Yes,Success
148,21,Male,High,3.54,820,0,73.5,No,No,4.1,Yes,Success
149,20,Male,High,2.84,1206,3,72.5,Yes,No,6.5,No,Success
150,22,Female,Middle,2.84,1418,0,73.6,No,No,0.2,Yes,Needs Support
151,21,Male,High,3.48,1135,1,81.1,No,Yes,2.8,No,Needs Support
152,21,Female,Low,2.48,916,4,73.5,No,Yes,2.1,No,Needs Support
153,19,Male,Low,2.22,923,4,72.4,No,Yes,0.4,Yes,Success
154,21,Male,Middle,2.71,1198,4,73.7,Yes,Yes,4.8,No,Needs Support
155,20,Female,Middle,2.57,1592,3,79.5,Yes,Yes,1.8,No,Success
156,21,Male,Middle,2.59,1514,2,76.9,No,No,7.4,Yes,Success
157,19,Male,High,2.47,850,2,92.7,Yes,No,8.5,No,Success
158,19,Female,Low,2.08,1582,0,52.5,Yes,Yes,5.5,No,Needs Support
159,22,Male,Low,2.04,1123,3,91.7,No,Yes,9.8,No,Needs Support
160,20,Male,High,3.98,1588,4,92.2,Yes,Yes,4.5,Yes,Needs Support
161,18,Male,Low,2.86,940,4,64.2,Yes,No,5.1,No,Needs Support
162,18,Male,Middle,2.77,1269,1,73.1,Yes,Yes,9.9,Yes,Success
163,21,Female,Middle,3.36,1586,1,71.9,No,Yes,2.3,No,Needs Support
164,22,Female,Middle,2.44,1133,4,60.9,Yes,Yes,9.4,No,Success
165,17,Male,Low,3.9,1172,4,69.8,No,No,0.4,No,Needs Support
166,21,Female,Middle,3.57,1363,3,52.2,Yes,Yes,4.5,No,Needs Support
167,22,Male,High,2.18,1293,2,63.9,Yes,No,0.7,Yes,Needs Support
168,20,Female,High,2.84,1338,1,90.8,Yes,No,7.3,Yes,Success
169,20,Male,Low,3.76,1468,2,64.2,No,No,6.1,No,Success
170,20,Male,High,3.89,1550,3,90.9,No,No,7.1,No,Success
171,20,Male,High,2.93,955,4,76.6,Yes,No,3.7,No,Success
172,20,Male,Low,3.23,1090,2,94.0,No,No,3.7,No,Success
173,22,Male,Middle,2.33,1447,4,78.7,Yes,Yes,0.5,No,Needs Support
174,22,Male,Middle,3.98,943,4,51.5,No,Yes,3.5,No,Success
175,19,Female,Middle,2.46,905,0,83.8,No,Yes,9.3,No,Success
176,18,Male,Low,3.89,1219,2,52.2,Yes,No,3.8,No,Success
177,20,Female,High,3.3,1469,2,72.5,Yes,Yes,8.3,Yes,Success
178,17,Male,Middle,3.22,1457,4,96.5,Yes,No,8.4,Yes,Needs Support
179,22,Female,Middle,3.03,801,3,58.3,Yes,No,3.7,Yes,Success
180,17,Female,Low,2.46,1388,0,69.5,No,No,6.3,No,Needs Support
181,17,Female,Middle,2.35,1443,4,86.5,No,Yes,1.0,No,Needs Support
182,17,Male,Low,2.44,889,1,94.1,No,No,1.0,No,Needs Support
183,19,Male,High,2.37,1144,1,83.5,Yes,No,0.5,Yes,Success
184,22,Female,Low,3.56,1149,0,62.9,Yes,Yes,5.8,No,Needs Support
185,17,Male,Low,2.7,1258,3,83.7,No,Yes,4.3,Yes,Success
186,20,Female,Low,2.12,1062,4,64.8,Yes,No,5.5,No,Success
187,21,Male,Low,3.94,1150,2,85.9,No,No,5.2,Yes,Success
188,17,Female,High,3.77,907,0,97.7,No,Yes,3.5,Yes,Success
189,19,Female,High,3.86,1385,3,86.1,No,Yes,6.8,Yes,Success
190,22,Male,Middle,3.99,838,2,93.1,No,Yes,7.6,No,Needs Support
191,19,Female,High,2.35,958,1,50.1,No,No,0.1,Yes,Needs Support
192,17,Male,High,2.79,1382,1,85.9,Yes,Yes,2.1,No,Success
193,22,Female,Middle,3.52,1111,2,91.5,Yes,Yes,7.1,No,Needs Support
194,21,Female,High,3.39,1040,0,52.0,Yes,Yes,3.9,No,Success
195,17,Male,Low,2.31,1244,1,93.6,No,No,6.6,No,Needs Support
196,19,Male,Low,3.63,1097,4,62.8,No,Yes,3.5,No,Needs Support
197,18,Male,Middle,2.45,835,2,83.3,No,Yes,3.9,Yes,Needs Support
198,20,Female,Middle,2.45,883,2,90.0,No,Yes,1.6,No,Needs Support
199,19,Male,Middle,3.07,1251,1,83.1,Yes,Yes,2.6,No,Needs Support
200,22,Female,Low,3.19,1574,0,54.6,Yes,Yes,6.1,No,Success
201,17,Female,High,3.16,1184,4,79.8,No,No,4.3,No,Success
202,20,Male,Low,2.18,971,0,77.5,No,No,7.7,No,Needs Support
203,17,Male,Middle,3.75,1175,3,95.0,No,No,8.5,Yes,Success
204,22,Female,High,2.53,1484,3,70.2,Yes,Yes,5.4,Yes,Needs Support
205,17,Female,High,2.26,1161,1,66.1,Yes,No,7.6,No,Success
206,18,Male,Low,3.78,1358,1,87.5,Yes,No,3.1,Yes,Needs Support
207,20,Male,Middle,3.91,940,1,70.6,No,No,4.1,Yes,Needs Support
208,20,Male,Low,3.72,917,3,82.3,No,Yes,7.1,No,Needs Support
209,22,Male,High,3.62,1076,0,82.3,Yes,Yes,3.9,Yes,Success
210,18,Male,Low,3.31,1525,0,94.4,No,No,5.9,No,Success
211,19,Female,Low,3.1,1019,1,79.9,Yes,No,1.9,Yes,Needs Support
212,17,Female,Middle,2.17,825,4,75.1,No,Yes,6.0,Yes,Needs Support
213,21,Female,Middle,2.82,1320,0,56.9,Yes,Yes,8.6,Yes,Success
214,17,Female,High,2.75,1582,3,55.8,No,No,8.7,No,Success
215,17,Male,Low,2.52,809,2,57.7,Yes,Yes,7.2,Yes,Success
216,19,Male,Low,3.45,1177,2,58.6,Yes,No,7.5,Yes,Success
217,17,Male,Low,2.99,1432,2,81.9,Yes,Yes,5.6,No,Success
218,18,Female,High,2.16,1436,4,87.0,Yes,No,5.8,No,Needs Support
219,18,Female,High,2.44,1481,1,76.5,Yes,No,1.3,Yes,Success
220,20,Male,Middle,3.37,1383,3,91.5,Yes,Yes,4.4,No,Needs Support
221,22,Male,Middle,2.15,951,4,99.6,No,No,4.5,Yes,Needs Support
222,21,Female,Middle,3.7,1519,3,91.0,No,No,9.6,Yes,Success
223,17,Female,Low,2.99,848,3,84.7,No,No,4.3,No,Success
224,17,Male,Low,2.96,953,1,76.6,Yes,Yes,5.5,No,Needs Support
225,19,Male,Middle,3.18,1092,2,72.4,Yes,Yes,5.3,No,Success
226,22,Female,Low,3.65,1379,1,54.2,No,Yes,6.4,Yes,Needs Support
227,18,Male,Middle,2.7,849,4,70.0,Yes,No,7.5,No,Success
228,21,Male,High,3.36,1463,4,95.5,Yes,Yes,2.3,Yes,Success
229,20,Male,Middle,3.13,1330,4,90.4,Yes,No,5.3,No,Success
230,18,Female,High,2.53,1411,1,60.8,Yes,No,8.3,Yes,Needs Support
231,22,Female,Low,3.76,859,3,73.3,Yes,Yes,4.6,No,Success
232,20,Female,Middle,3.59,966,3,90.8,No,Yes,2.8,Yes,Needs Support
233,19,Female,Low,3.32,1001,0,53.4,No,No,6.5,No,Success
234,19,Female,High,3.7,945,4,69.4,No,No,8.2,Yes,Needs Support
235,17,Female,High,3.73,1475,3,92.6,No,Yes,0.6,No,Success
236,22,Female,High,3.42,1238,0,70.2,No,Yes,7.8,No,Needs Support
237,21,Male,Low,3.67,1041,3,53.9,Yes,Yes,8.2,Yes,Needs Support
238,20,Male,Low,3.39,1380,4,77.1,Yes,No,4.6,No,Needs Support
239,18,Male,Low,3.36,1486,2,93.1,Yes,No,9.8,Yes,Needs Support
240,22,Male,Low,3.24,1360,4,79.5,Yes,No,7.9,Yes,Needs Support
241,22,Male,High,3.51,1282,1,61.3,No,No,7.7,No,Needs Support
242,19,Male,High,2.32,907,3,69.2,No,No,7.5,Yes,Success
243,17,Male,Middle,3.76,1025,3,72.5,No,Yes,1.5,No,Needs Support
244,17,Female,Middle,3.74,1472,1,79.0,Yes,Yes,2.2,No,Needs Support
245,20,Female,Low,2.06,1430,1,88.0,No,No,4.6,Yes,Needs Support
246,19,Male,High,3.65,1460,2,54.9,Yes,No,2.6,No,Success
247,22,Male,High,2.26,1461,3,94.5,No,Yes,4.2,Yes,Success
248,21,Female,High,2.67,1231,3,50.6,No,Yes,8.9,Yes,Success
249,19,Male,Middle,3.49,1454,2,68.5,Yes,Yes,8.2,No,Needs Support
250,20,Male,Middle,2.32,1218,0,51.4,Yes,Yes,6.3,No,Success
251,20,Female,High,3.64,1254,2,69.6,No,No,8.6,Yes,Success
252,19,Male,High,3.66,959,4,76.3,No,Yes,7.8,Yes,Needs Support
253,20,Female,High,3.01,1322,3,75.6,Yes,No,4.3,No,Needs Support
254,19,Male,Middle,2.01,1449,1,58.3,No,Yes,2.0,No,Success
255,18,Female,High,2.57,1389,4,82.3,No,Yes,5.1,No,Needs Support
256,19,Female,High,3.23,876,3,52.2,Yes,Yes,7.4,No,Needs Support
257,19,Female,Low,3.96,1308,2,88.1,No,No,4.4,Yes,Needs Support
258,20,Male,Low,3.26,1240,4,97.3,Yes,No,6.7,No,Needs Support
259,20,Female,Middle,2.52,1053,3,67.0,No,Yes,0.9,Yes,Success
260,17,Male,High,3.27,1569,0,75.9,Yes,No,7.5,Yes,Needs Support
261,17,Male,High,3.08,1119,0,68.9,No,No,8.1,No,Success
262,18,Male,Low,3.56,1062,1,50.3,Yes,Yes,7.1,Yes,Success
263,17,Male,Middle,2.21,1396,3,69.3,No,Yes,9.7,No,Success
264,19,Female,Low,3.52,1457,0,89.6,Yes,No,8.3,Yes,Success
265,20,Female,Low,3.08,1353,2,79.8,No,No,9.0,No,Needs Support
266,17,Male,Low,3.93,1173,3,55.1,No,No,9.3,Yes,Needs Support
267,17,Male,Low,2.68,1436,2,92.4,No,Yes,8.0,Yes,Needs Support
268,18,Female,High,3.27,966,2,76.6,No,Yes,6.7,No,Success
269,22,Male,High,3.86,1552,0,92.1,No,No,0.1,No,Success
270,18,Female,Low,2.21,1258,3,79.0,No,Yes,4.7,Yes,Success
271,19,Male,Middle,3.87,1079,4,78.0,No,Yes,5.7,Yes,Needs Support
272,20,Male,Middle,3.38,1499,0,55.3,No,No,3.0,No,Success
273,18,Female,Middle,2.14,1101,0,58.4,No,No,3.2,Yes,Needs Support
274,17,Male,Middle,2.6,1330,3,98.6,Yes,Yes,9.6,No,Needs Support
275,20,Female,Low,3.42,1379,3,61.4,Yes,Yes,8.9,Yes,Needs Support
276,20,Male,High,2.13,1017,2,98.9,No,No,8.5,No,Needs Support
277,17,Male,Middle,3.16,901,3,76.6,Yes,Yes,4.1,Yes,Success
278,18,Male,Low,2.69,1353,2,56.8,No,Yes,0.1,No,Needs Support
279,17,Female,Middle,3.24,1087,0,55.0,No,No,0.8,No,Success
280,22,Male,Middle,2.09,966,1,60.4,Yes,No,3.1,Yes,Needs Support
281,20,Male,Low,3.74,1420,4,96.3,No,Yes,0.2,No,Success
282,21,Male,High,3.95,835,0,70.7,No,Yes,0.2,Yes,Success
283,21,Male,High,3.94,1543,3,69.8,Yes,Yes,9.2,No,Needs Support
284,19,Female,Low,3.5,1540,4,65.7,Yes,No,7.1,No,Needs Support
285,17,Female,High,2.26,1152,1,57.4,No,Yes,3.1,No,Needs Support
286,17,Male,Low,3.52,1475,1,74.4,Yes,Yes,1.3,Yes,Success
287,19,Female,Low,2.05,872,2,56.5,Yes,No,5.1,No,Needs Support
288,19,Male,Low,2.04,1447,4,91.8,No,No,0.1,Yes,Needs Support
289,19,Male,High,2.65,1152,2,68.5,Yes,Yes,9.4,No,Success
290,20,Male,Low,2.98,869,0,68.7,Yes,No,4.1,Yes,Needs Support
291,22,Female,Middle,3.54,1224,4,73.7,No,No,4.0,Yes,Success
292,17,Female,High,3.37,1507,0,72.2,Yes,Yes,3.9,Yes,Needs Support
293,20,Female,High,2.89,1580,2,99.7,Yes,No,0.7,No,Success
294,19,Female,High,2.55,1360,4,77.3,No,No,6.4,Yes,Success
295,17,Female,High,3.99,1441,2,54.4,No,Yes,7.3,No,Needs Support
296,20,Female,Middle,2.85,1316,4,80.3,No,No,6.8,Yes,Success
297,22,Female,High,2.9,1227,2,57.6,Yes,Yes,1.4,Yes,Needs Support
298,20,Female,High,2.33,1338,1,51.5,No,Yes,5.8,Yes,Needs Support
299,22,Female,Low,3.59,959,2,98.5,No,No,5.7,Yes,Success
300,19,Male,High,3.39,948,1,88.7,Yes,No,8.7,No,Needs Support
301,22,Female,Middle,2.44,1575,2,99.0,No,No,3.8,Yes,Success
302,17,Female,Middle,2.16,1029,4,73.9,No,Yes,3.7,Yes,Success
303,19,Female,Middle,3.36,1511,4,76.6,No,No,6.2,No,Success
304,17,Female,Middle,3.31,1361,4,58.4,No,Yes,6.3,Yes,Success
305,21,Female,High,2.55,866,3,62.3,Yes,No,4.7,Yes,Success
306,18,Female,High,3.9,1180,0,91.9,No,No,4.4,Yes,Success
307,22,Female,Middle,2.3,857,4,67.8,No,No,4.9,Yes,Success
308,18,Female,Middle,2.86,1058,1,91.3,Yes,Yes,8.6,No,Success
309,18,Female,High,3.89,1141,4,85.5,No,No,4.6,No,Needs Support
310,22,Female,Middle,2.84,929,3,58.9,Yes,No,9.4,Yes,Needs Support
311,19,Female,Low,3.28,1526,1,75.4,Yes,Yes,5.0,No,Success
312,21,Male,Middle,2.8,971,3,83.9,Yes,Yes,9.5,No,Needs Support
313,17,Male,Middle,2.55,1569,1,61.8,No,No,8.3,Yes,Needs Support
314,20,Female,Low,3.97,1413,2,91.5,Yes,No,3.6,No,Needs Support
315,17,Female,Low,2.82,1008,0,77.2,Yes,No,8.6,Yes,Needs Support
316,20,Male,High,3.79,1153,0,58.3,Yes,Yes,1.1,No,Needs Support
317,17,Female,High,2.46,1270,3,79.1,No,Yes,9.3,No,Needs Support
318,22,Male,Low,2.43,1597,0,100.0,No,Yes,6.3,No,Success
319,21,Male,Low,2.06,915,3,57.5,No,Yes,0.5,Yes,Needs Support
320,20,Male,High,3.3,1063,3,90.8,No,No,6.4,No,Needs Support
321,19,Male,Middle,2.74,1461,3,60.4,No,Yes,9.7,Yes,Needs Support
322,17,Male,Low,3.73,1241,0,89.1,No,Yes,0.7,Yes,Needs Support
323,17,Female,High,2.95,1347,3,86.7,No,Yes,5.5,No,Success
324,20,Male,Middle,3.94,1252,0,65.0,Yes,No,7.5,Yes,Success
325,19,Female,Low,2.37,1276,3,66.3,Yes,No,8.1,No,Success
326,19,Female,Middle,3.74,1086,4,89.6,Yes,Yes,4.1,Yes,Success
327,22,Male,High,3.55,1102,3,73.1,Yes,Yes,2.0,Yes,Needs Support
328,22,Male,Low,3.54,1110,1,86.5,No,No,0.4,No,Success
329,22,Female,Middle,3.69,1007,3,57.4,Yes,No,5.8,No,Success
330,22,Male,Low,3.52,1417,2,92.6,Yes,No,4.5,No,Success
331,22,Male,Middle,3.25,1245,3,85.5,Yes,No,9.5,No,Success
332,22,Female,High,2.26,1469,1,95.3,Yes,No,0.6,Yes,Needs Support
333,21,Female,High,2.07,1432,1,56.6,No,No,6.9,Yes,Success
334,19,Male,Low,3.84,854,0,79.7,No,No,0.2,Yes,Needs Support
335,22,Female,Middle,3.23,811,4,80.0,No,No,1.7,No,Success
336,19,Male,Low,3.59,1456,3,67.7,Yes,Yes,4.5,Yes,Needs Support
337,19,Male,Low,2.96,1199,0,72.9,No,Yes,4.5,No,Needs Support
338,18,Male,Middle,2.23,1447,4,51.9,Yes,Yes,6.9,Yes,Success
339,21,Female,Middle,2.25,1314,3,87.3,No,Yes,9.1,No,Success
340,22,Female,Middle,3.37,1455,2,77.5,No,Yes,6.4,Yes,Success
341,17,Female,High,2.86,1341,3,52.9,No,Yes,9.5,Yes,Success
342,20,Female,Low,2.4,1036,1,84.0,No,No,8.8,No,Needs Support
343,17,Female,Low,2.98,1078,1,73.3,No,No,5.8,Yes,Needs Support
